nodeID nodeLabel DNA_methylation_logFC DNA_methylation_P.Value GRN_logFC GRN_P.Value GRN_eigenvalue GRN_Page_Rank GRN_size GRN_nes GRN_pval fPPI_Mutations_of_interest_vs_Group_control_diff fPPI_Mutations_of_interest_vs_Group_control_p.val Metabo_mean.diff Metabo_pvalue
260 frag_104637 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
261 frag_104639 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
262 frag_104641 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
263 frag_104720 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
264 frag_105539 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
265 frag_105540 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
266 frag_105541 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
267 frag_105543 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
268 frag_105544 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
269 frag_105556 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
270 frag_105557 0 1 0 1 -0,01045008435012 -10,0111331994152 0 0 1 0 1 0 1
