source	target
DTL	53610
INTS7	53610
DTL	53611
INTS7	53611
DTL	53612
INTS7	53612
DTL	53613
INTS7	53613
DTL	53614
INTS7	53614
DTL	53615
INTS7	53615
DTL	53619
INTS7	53619
DTL	53620
INTS7	53620
DTL	TMEM206
INTS7	TMEM206
DTL	53622
INTS7	53622
DTL	53623
INTS7	53623
DTL	53626
INTS7	53626
DTL	53627
INTS7	53627
DTL	NENF
INTS7	NENF
DTL	53629
INTS7	53629
DTL	53630
INTS7	53630
DTL	53631
INTS7	53631
DTL	53632
INTS7	53632
DTL	53633
INTS7	53633
DTL	53634
INTS7	53634
DTL	53635
INTS7	53635
DTL	53655
INTS7	53655
DTL	53658
INTS7	53658
DTL	53659
INTS7	53659
DTL	53671
INTS7	53671
DTL	53675
INTS7	53675
DTL	53713
INTS7	53713
DTL	53717
INTS7	53717
DTL	53721
INTS7	53721
DTL	53722
INTS7	53722
DTL	53723
INTS7	53723
DTL	53724
INTS7	53724
DTL	53725
INTS7	53725
DTL	53726
INTS7	53726
DTL	53727
INTS7	53727
DTL	NSL1
DTL	TATDN3
INTS7	NSL1
INTS7	TATDN3
NSL1	TATDN3
DTL	53730
INTS7	53730
DTL	53770
INTS7	53770
DTL	53773
INTS7	53773
DTL	53776
INTS7	53776
DTL	53777
INTS7	53777
DTL	ANGEL2
INTS7	ANGEL2
PPP2R5A	DTL
PPP2R5A	INTS7
RP11-384C4.2	DTL
RP11-384C4.2	INTS7
SNORA16B	DTL
SNORA16B	INTS7
TMEM206	DTL
TMEM206	INTS7
NENF	DTL
NENF	INTS7
ATF3	RP11-61J19.4
ATF3	DTL
ATF3	INTS7
RP11-61J19.4	DTL
RP11-61J19.4	INTS7
NSL1	DTL
NSL1	INTS7
TATDN3	DTL
TATDN3	INTS7
ANGEL2	DTL
ANGEL2	INTS7
RPS6KC1	DTL
RPS6KC1	INTS7
CENPF	CENPL
CENPF	DARS2
ABCB10	58883
TAF5L	URB2
TAF5L	58883
URB2	58883
RNU5E-2P	60524
AL359878.1	GTPBP4
AL359878.1	64604
GTPBP4	64604
LINC00200	64604
AKR1C3	U8
AKR1C3	65865
U8	65865
IL2RA	66132
RBM17	66132
PFKFB3	66132
PFKFB3	RP11-414H17.5
RP11-414H17.5	66132
SKIDA1	70907
MLLT10	70907
SPAG6	70907
CSGALNACT2	RP11-351D16.3
CSGALNACT2	76085
RP11-351D16.3	76085
C10orf25	ZNF22
C10orf25	76085
ZNF22	76085
FRMPD2	ARHGAP22
MAPK8	ARHGAP22
ARHGAP22	77544
ARHGAP22	77546
ARHGAP22	77547
ARHGAP22	77548
ARHGAP22	77555
ARHGAP22	77558
ARHGAP22	77559
ARHGAP22	77560
ARHGAP22	77561
ARHGAP22	77562
ARHGAP22	77568
ARHGAP22	77569
ARHGAP22	77570
ARHGAP22	77574
ARHGAP22	77605
ARHGAP22	77606
ARHGAP22	77607
ARHGAP22	77608
ARHGAP22	77609
ARHGAP22	77611
ARHGAP22	77612
ARHGAP22	77613
ARHGAP22	77614
ARHGAP22	77615
ARHGAP22	77616
ARHGAP22	77617
ARHGAP22	77620
ARHGAP22	77633
ARHGAP22	77635
ARHGAP22	77636
ARHGAP22	77639
ARHGAP22	77640
ARHGAP22	77641
ARHGAP22	77642
ARHGAP22	77643
ARHGAP22	77644
