name	logFC	P.Value
CDKN2B-AS1	0.191081472218954	1.24746740484469e-05
CEBPZ	-0.0358716222024126	1.74410744319879e-06
CENPL	-0.0443309883889657	6.16157725657016e-07
CEP78	-0.0843382573114667	3.27212238296015e-05
CHKB	0.0219859651605731	1.73361884248253e-05
CHKB-AS1	0.0219859651605731	1.73361884248253e-05
CHKB-CPT1B	0.0219859651605731	1.73361884248253e-05
CKMT2	0.263890747764489	2.94218731328743e-05
CLMP	-0.228539273166591	3.00285074751316e-05
CLUHP3	-0.0832690860870739	1.41079244491912e-05
CMYA5	0.145979841220735	1.01060466440105e-05
CNOT2	-0.093750694437127	4.11673505266682e-06
CPT1B	0.0219859651605731	1.73361884248253e-05
CTA-384D8.33	0.0219859651605731	1.73361884248253e-05
