"","A","B"
"1849","MAR05285","CTSE"
"1947","MAR05285","CTSO"
"21374","MAR05286","CTSA"
"3586","MAR05286","CTSG"
"4418","MAR05286","LGMN"
"5271","MAR05286","CTSZ"
"6183","MAR05286","CTSH"
"7149","MAR05286","CTSC"
"8125","MAR05286","CTSD"
"9117","MAR05286","NAPSA"
"1090","MAR05286","CTSL"
"1175","MAR05286","CTSV"
"1272","MAR05286","CTSK"
"1358","MAR05286","CTSS"
"1458","MAR05286","CTSB"
"1555","MAR05286","TPP1"
"1651","MAR05286","CTSW"
"1750","MAR05286","CTSF"
"1850","MAR05286","CTSE"
"1948","MAR05286","CTSO"
"21375","MAR05287","CTSA"
"3587","MAR05287","CTSG"
"4419","MAR05287","LGMN"
"5272","MAR05287","CTSZ"
"6184","MAR05287","CTSH"
"7150","MAR05287","CTSC"
"8126","MAR05287","CTSD"
"9118","MAR05287","NAPSA"
"1091","MAR05287","CTSL"
"1176","MAR05287","CTSV"
"1273","MAR05287","CTSK"
"1359","MAR05287","CTSS"
"1459","MAR05287","CTSB"
"1556","MAR05287","TPP1"
"1652","MAR05287","CTSW"
"1751","MAR05287","CTSF"
"1851","MAR05287","CTSE"
"1949","MAR05287","CTSO"
"21376","MAR05288","HACD1"
"3588","MAR05288","HACD2"
"21377","MAR05289","CTSA"
"3589","MAR05289","CTSG"
"4420","MAR05289","LGMN"
"5273","MAR05289","CTSZ"
"6185","MAR05289","CTSH"
"7151","MAR05289","CTSC"
"8127","MAR05289","CTSD"
"9119","MAR05289","NAPSA"
"1092","MAR05289","CTSL"
"1177","MAR05289","CTSV"
"1274","MAR05289","CTSK"
"1360","MAR05289","CTSS"
"1460","MAR05289","CTSB"
"1557","MAR05289","TPP1"
"1653","MAR05289","CTSW"
"1752","MAR05289","CTSF"
"1852","MAR05289","CTSE"
"1950","MAR05289","CTSO"
"21378","MAR05290","CTSA"
"3590","MAR05290","CTSG"
"4421","MAR05290","LGMN"
"5274","MAR05290","CTSZ"
"6186","MAR05290","CTSH"
"7152","MAR05290","CTSC"
"8128","MAR05290","CTSD"
"9120","MAR05290","NAPSA"
"1093","MAR05290","CTSL"
"1178","MAR05290","CTSV"
"1275","MAR05290","CTSK"
"1361","MAR05290","CTSS"
"1461","MAR05290","CTSB"
"1558","MAR05290","TPP1"
"1654","MAR05290","CTSW"
"1753","MAR05290","CTSF"
"1853","MAR05290","CTSE"
"1951","MAR05290","CTSO"
"21382","MAR05407","CA12"
"3591","MAR05407","CA2"
"4422","MAR05407","CA9"
"5275","MAR05407","CA14"
"6187","MAR05407","CA6"
"7153","MAR05407","CA1"
"8129","MAR05407","NAE1"
"9121","MAR05407","CA3"
"1094","MAR05407","CA4"
"1179","MAR05407","CA7"
"1276","MAR05407","CA5B"
"1362","MAR05407","CA5A"
"1462","MAR05407","CA8"
"1559","MAR05407","CA13"
"21384","MAR03861","GOT1"
"21386","MAR03915","HNMT"
"21387","MAR04084","BPNT2"
"3592","MAR04084","BPNT1"
"21388","MAR04187","BPNT2"
"3593","MAR04187","BPNT1"
"21390","MAR04701","SARDH"
"3594","MAR04701","DMGDH"
"21391","MAR04840","AKR1C4"
"21392","MAR04842","ALDH3B1"
"3595","MAR04842","ALDH3A1"
"4423","MAR04842","ALDH3B2"
"5276","MAR04842","ALDH1A3"
"21401","MAR00710","IDH1"
"3596","MAR00710","IDH2"
"21402","MAR03787","OXCT1"
"3597","MAR03787","OXCT2"
"21403","MAR03957","IDH3G"
"3598","MAR03957","IDH3B"
"4424","MAR03957","IDH3A"
"21404","MAR03958","IDH1"
"3599","MAR03958","IDH2"
"21405","MAR04111","IDH1"
"3600","MAR04111","IDH2"
"21406","MAR04112","IDH1"
"3601","MAR04112","IDH2"
"21407","MAR04113","IDH1"
"3602","MAR04113","IDH2"
"21408","MAR04139","MDH1"
"3603","MAR04139","MDH1B"
"21409","MAR04141","MDH2"
"21410","MAR04145","CS"
"21412","MAR04149","ACLY"
"21414","MAR04209","OGDH"
"3604","MAR04209","DHTKD1"
"4425","MAR04209","OGDHL"
"21415","MAR04408","FH"
"21416","MAR04410","FH"
"21417","MAR04454","ACO1"
"3605","MAR04454","IREB2"
"21418","MAR04456","ACO2"
"3606","MAR04456","ACO1"
"21419","MAR04458","ACO2"
"3607","MAR04458","ACO1"
"21420","MAR04465","GRHPR"
"21421","MAR04585","IDH1"
"3608","MAR04585","IDH2"
"21422","MAR04586","IDH1"
"3609","MAR04586","IDH2"
"21423","MAR04587","IDH1"
"3612","MAR04587","IDH2"
"21424","MAR04588","IDH1"
"3613","MAR04588","IDH2"
"21425","MAR04589","ACO2"
"3614","MAR04589","ACO1"
"21427","MAR05294","CLYBL"
"21429","MAR06411","OGDH"
"3615","MAR06411","DHTKD1"
"4426","MAR06411","OGDHL"
"21430","MAR06413","OGDH"
"3616","MAR06413","DHTKD1"
"4427","MAR06413","OGDHL"
"21431","MAR06414","DLST"
"21432","MAR07704","HAO1"
"3617","MAR07704","HAO2"
"21433","MAR07706","HAO1"
"3618","MAR07706","HAO2"
"21435","MAR08772","KHK"
"21436","MAR08773","ALDOC"
"3619","MAR08773","ALDOB"
"4428","MAR08773","ALDOA"
"21438","MAR08775","ALDH3B1"
"3620","MAR08775","ALDH3A2"
"4429","MAR08775","ALDH3A1"
"5278","MAR08775","ALDH3B2"
"6188","MAR08775","ALDH9A1"
"7154","MAR08775","ALDH7A1"
"8130","MAR08775","ALDH1A3"
"21440","MAR08778","ALDH3A2"
"3621","MAR08778","ALDH2"
"4430","MAR08778","ALDH1B1"
"5279","MAR08778","ALDH9A1"
"6189","MAR08778","ALDH7A1"
"21441","MAR08779","GRHPR"
"21442","MAR08780","LDHB"
"3622","MAR08780","UEVLD"
"4431","MAR08780","LDHC"
"5280","MAR08780","LDHAL6A"
"6190","MAR08780","LDHD"
"7155","MAR08780","LDHAL6B"
"21444","MAR08782","GRHPR"
"21445","MAR03975","LHPP"
"3623","MAR03975","PPA2"
"4432","MAR03975","PRUNE1"
"5281","MAR03975","PPA1"
"21446","MAR03977","LHPP"
"3624","MAR03977","PPA2"
"4433","MAR03977","PRUNE1"
"5282","MAR03977","PPA1"
"21447","MAR03979","LHPP"
"3625","MAR03979","PPA2"
"4434","MAR03979","PRUNE1"
"5283","MAR03979","PPA1"
"21448","MAR06911","ETFB"
"3626","MAR06911","ETFA"
"4435","MAR06911","SDHC"
"5284","MAR06911","ETFDH"
"21449","MAR06912","LHPP"
"3627","MAR06912","PPA2"
"4436","MAR06912","PRUNE1"
"5285","MAR06912","PPA1"
"21454","MAR03960","SOD3"
"3628","MAR03960","SOD2"
"4437","MAR03960","SOD1"
"21455","MAR03980","CAT"
"21456","MAR03982","CAT"
"21459","MAR08409","SOD3"
"21460","MAR08410","SOD2"
"21461","MAR08413","SOD1"
"21462","MAR08415","SOD1"
"21463","MAR00156","ACSM3"
"3629","MAR00156","ACSM2B"
"4438","MAR00156","ACSM1"
"5286","MAR00156","ACSM5"
"6191","MAR00156","ACSM2A"
"7156","MAR00156","ACSM4"
"21464","MAR00165","ACSM3"
"3630","MAR00165","ACSM2B"
"4439","MAR00165","ACSM1"
"5287","MAR00165","ACSM5"
"6192","MAR00165","ACSM2A"
"7157","MAR00165","ACSM4"
"21465","MAR00168","ACSM3"
"3631","MAR00168","ACSM2B"
"4440","MAR00168","ACSM1"
"5288","MAR00168","ACSM5"
"6193","MAR00168","ACSM2A"
"7158","MAR00168","ACSM4"
"21466","MAR00171","ACSM3"
"3632","MAR00171","ACSM2B"
"4441","MAR00171","ACSM1"
"5289","MAR00171","ACSM5"
"6194","MAR00171","ACSM2A"
"7159","MAR00171","ACSM4"
"21467","MAR00174","ACSM3"
"3633","MAR00174","ACSM2B"
"4442","MAR00174","ACSM1"
"5290","MAR00174","ACSM5"
"6195","MAR00174","ACSM2A"
"7160","MAR00174","ACSM4"
"21468","MAR00177","ACSM3"
"3634","MAR00177","ACSM2B"
"4443","MAR00177","ACSM1"
"5291","MAR00177","ACSM5"
"6196","MAR00177","ACSM2A"
"7161","MAR00177","ACSM4"
"21469","MAR00180","ACSM3"
"3635","MAR00180","ACSM2B"
"4444","MAR00180","ACSM1"
"5292","MAR00180","ACSM5"
"6197","MAR00180","ACSM2A"
"7162","MAR00180","ACSM4"
"21470","MAR00184","ACSM3"
"3636","MAR00184","ACSM2B"
"4445","MAR00184","ACSM1"
"5293","MAR00184","ACSM5"
"6198","MAR00184","ACSM2A"
"7163","MAR00184","ACSM4"
"21471","MAR00188","ACSL4"
"3637","MAR00188","ACSBG1"
"4446","MAR00188","ACSL3"
"5294","MAR00188","ACSBG2"
"6199","MAR00188","SLC27A2"
"7164","MAR00188","ACSL1"
"8131","MAR00188","ACSL6"
"9122","MAR00188","ACSL5"
"1095","MAR00188","MEIKIN"
"21472","MAR00192","ACSL4"
"3638","MAR00192","ACSBG1"
"4447","MAR00192","ACSL3"
"5295","MAR00192","ACSBG2"
"6200","MAR00192","SLC27A2"
"7165","MAR00192","ACSL1"
"8132","MAR00192","ACSL6"
"9123","MAR00192","ACSL5"
"1096","MAR00192","MEIKIN"
"21473","MAR00196","ACSL4"
"3639","MAR00196","ACSBG1"
"4448","MAR00196","ACSL3"
"5296","MAR00196","ACSBG2"
"6201","MAR00196","SLC27A2"
"7166","MAR00196","ACSL1"
"8133","MAR00196","ACSL6"
"9124","MAR00196","ACSL5"
"1097","MAR00196","MEIKIN"
"21474","MAR00200","ACSL4"
"3640","MAR00200","ACSBG1"
"4449","MAR00200","ACSL3"
"5297","MAR00200","ACSBG2"
"6202","MAR00200","SLC27A2"
"7167","MAR00200","ACSL1"
"8134","MAR00200","ACSL6"
"9125","MAR00200","ACSL5"
"1098","MAR00200","MEIKIN"
"21475","MAR00204","ACSL4"
"3641","MAR00204","ACSBG1"
"4450","MAR00204","ACSL3"
"5298","MAR00204","ACSBG2"
"6203","MAR00204","SLC27A2"
"7168","MAR00204","ACSL1"
"8135","MAR00204","ACSL6"
"9126","MAR00204","ACSL5"
"1099","MAR00204","MEIKIN"
"21476","MAR00209","ACSL4"
"3642","MAR00209","ACSBG1"
"4451","MAR00209","ACSL3"
"5299","MAR00209","ACSBG2"
"6204","MAR00209","SLC27A2"
"7169","MAR00209","ACSL1"
"8136","MAR00209","ACSL6"
"9127","MAR00209","ACSL5"
"10100","MAR00209","MEIKIN"
"21477","MAR00213","ACSL4"
"3643","MAR00213","ACSBG1"
"4452","MAR00213","ACSL3"
"5300","MAR00213","ACSBG2"
"6205","MAR00213","SLC27A2"
"7170","MAR00213","ACSL1"
"8137","MAR00213","ACSL6"
"9128","MAR00213","ACSL5"
"10101","MAR00213","MEIKIN"
"21478","MAR00217","ACSL4"
"3644","MAR00217","ACSBG1"
"4453","MAR00217","ACSL3"
"5301","MAR00217","ACSBG2"
"6206","MAR00217","SLC27A2"
"7171","MAR00217","ACSL1"
"8138","MAR00217","ACSL6"
"9129","MAR00217","ACSL5"
"10102","MAR00217","MEIKIN"
"21479","MAR00226","ACSL4"
"3645","MAR00226","ACSBG1"
"4454","MAR00226","ACSL3"
"5302","MAR00226","ACSBG2"
"6207","MAR00226","SLC27A2"
"7172","MAR00226","ACSL1"
"8139","MAR00226","ACSL6"
"9130","MAR00226","ACSL5"
"10103","MAR00226","MEIKIN"
"21480","MAR00233","ACSL4"
"3646","MAR00233","ACSBG1"
"4455","MAR00233","ACSL3"
"5303","MAR00233","ACSBG2"
"6208","MAR00233","SLC27A2"
"7173","MAR00233","ACSL1"
"8140","MAR00233","ACSL6"
"9131","MAR00233","ACSL5"
"10104","MAR00233","MEIKIN"
"21481","MAR00237","ACSL4"
"3647","MAR00237","ACSBG1"
"4456","MAR00237","ACSL3"
"5304","MAR00237","ACSBG2"
"6209","MAR00237","SLC27A2"
"7174","MAR00237","ACSL1"
"8141","MAR00237","ACSL6"
"9132","MAR00237","ACSL5"
"10105","MAR00237","MEIKIN"
"21482","MAR00241","ACSL4"
"3648","MAR00241","ACSBG1"
"4457","MAR00241","ACSL3"
"5305","MAR00241","ACSBG2"
"6212","MAR00241","SLC27A2"
"7175","MAR00241","ACSL1"
"8142","MAR00241","ACSL6"
"9133","MAR00241","ACSL5"
"10106","MAR00241","MEIKIN"
"21483","MAR00245","ACSL4"
"3649","MAR00245","ACSBG1"
"4458","MAR00245","ACSL3"
"5306","MAR00245","ACSBG2"
"6213","MAR00245","SLC27A2"
"7176","MAR00245","ACSL1"
"8143","MAR00245","ACSL6"
"9134","MAR00245","ACSL5"
"10107","MAR00245","MEIKIN"
"21484","MAR00249","ACSL4"
"3650","MAR00249","ACSBG1"
"4459","MAR00249","ACOT2"
"5307","MAR00249","ACSL3"
"6214","MAR00249","ACSBG2"
"7177","MAR00249","SLC27A2"
"8144","MAR00249","ACSL1"
"9135","MAR00249","ACSL6"
"10108","MAR00249","ACOT4"
"1180","MAR00249","ACSL5"
"1277","MAR00249","MEIKIN"
"21485","MAR00255","ACSL4"
"3651","MAR00255","ACSBG1"
"4460","MAR00255","ACSL3"
"5308","MAR00255","ACSBG2"
"6215","MAR00255","SLC27A2"
"7178","MAR00255","ACSL1"
"8145","MAR00255","ACSL6"
"9136","MAR00255","ACSL5"
"10109","MAR00255","MEIKIN"
"21486","MAR00259","ACSL4"
"3652","MAR00259","ACSBG1"
"4461","MAR00259","ACSL3"
"5309","MAR00259","ACSBG2"
"6216","MAR00259","SLC27A2"
"7179","MAR00259","ACSL1"
"8146","MAR00259","ACSL6"
"9137","MAR00259","ACSL5"
"10110","MAR00259","MEIKIN"
"21487","MAR00263","ACSL4"
"3653","MAR00263","ACSBG1"
"4462","MAR00263","ACSL3"
"5312","MAR00263","ACSBG2"
"6217","MAR00263","SLC27A2"
"7180","MAR00263","ACSL1"
"8147","MAR00263","ACSL6"
"9138","MAR00263","ACSL5"
"10111","MAR00263","MEIKIN"
"21488","MAR00267","ACSL4"
"3654","MAR00267","ACSBG1"
"4463","MAR00267","ACSL3"
"5313","MAR00267","ACSBG2"
"6218","MAR00267","SLC27A2"
"7181","MAR00267","ACSL1"
"8148","MAR00267","ACSL6"
"9139","MAR00267","ACSL5"
"10112","MAR00267","MEIKIN"
"21489","MAR00271","ACSL4"
"3655","MAR00271","ACSBG1"
"4464","MAR00271","ACSL3"
"5314","MAR00271","ACSBG2"
"6219","MAR00271","SLC27A2"
"7182","MAR00271","ACSL1"
"8149","MAR00271","ACSL6"
"9140","MAR00271","ACSL5"
"10113","MAR00271","MEIKIN"
"21490","MAR00275","ACSL4"
"3656","MAR00275","ACSBG1"
"4465","MAR00275","ACSL3"
"5315","MAR00275","ACSBG2"
"6220","MAR00275","SLC27A2"
"7183","MAR00275","ACSL1"
"8150","MAR00275","ACSL6"
"9141","MAR00275","ACSL5"
"10114","MAR00275","MEIKIN"
"21491","MAR00279","ACSL4"
"3657","MAR00279","ACSBG1"
"4466","MAR00279","ACSL3"
"5316","MAR00279","ACSBG2"
"6221","MAR00279","SLC27A2"
"7184","MAR00279","ACSL1"
"8151","MAR00279","ACSL6"
"9142","MAR00279","ACSL5"
"10115","MAR00279","MEIKIN"
"21492","MAR00283","ACSL4"
"3658","MAR00283","ACSBG1"
"4467","MAR00283","ACSL3"
"5317","MAR00283","ACSBG2"
"6222","MAR00283","SLC27A2"
"7185","MAR00283","ACSL1"
"8152","MAR00283","ACSL6"
"9143","MAR00283","ACSL5"
"10116","MAR00283","MEIKIN"
"21493","MAR00289","ACSL4"
"3659","MAR00289","ACSBG1"
"4468","MAR00289","ACSL3"
"5318","MAR00289","ACSBG2"
"6223","MAR00289","SLC27A2"
"7186","MAR00289","ACSL1"
"8153","MAR00289","ACSL6"
"9144","MAR00289","ACSL5"
"10117","MAR00289","MEIKIN"
"21494","MAR00293","ACSL4"
"3660","MAR00293","ACSBG1"
"4469","MAR00293","ACSL3"
"5319","MAR00293","ACSBG2"
"6224","MAR00293","SLC27A2"
"7187","MAR00293","ACSL1"
"8154","MAR00293","ACSL6"
"9145","MAR00293","ACSL5"
"10118","MAR00293","MEIKIN"
"21495","MAR00297","ACSL4"
"3661","MAR00297","ACSBG1"
"4470","MAR00297","ACSL3"
"5320","MAR00297","ACSBG2"
"6225","MAR00297","SLC27A2"
"7188","MAR00297","ACSL1"
"8155","MAR00297","ACSL6"
"9146","MAR00297","ACSL5"
"10119","MAR00297","MEIKIN"
"21496","MAR00301","ACSL4"
"3662","MAR00301","ACSBG1"
"4471","MAR00301","ACSL3"
"5321","MAR00301","ACSBG2"
"6226","MAR00301","SLC27A2"
"7189","MAR00301","ACSL1"
"8156","MAR00301","ACSL6"
"9147","MAR00301","ACSL5"
"10120","MAR00301","MEIKIN"
"21497","MAR00305","ACSL4"
"3663","MAR00305","ACSBG1"
"4472","MAR00305","ACSL3"
"5322","MAR00305","ACSBG2"
"6227","MAR00305","SLC27A2"
"7190","MAR00305","ACSL1"
"8157","MAR00305","ACSL6"
"9148","MAR00305","ACSL5"
"10121","MAR00305","MEIKIN"
"21498","MAR00309","ACSL4"
"3664","MAR00309","ACSBG1"
"4473","MAR00309","ACSL3"
"5323","MAR00309","ACSBG2"
"6228","MAR00309","SLC27A2"
"7191","MAR00309","ACSL1"
"8158","MAR00309","ACSL6"
"9149","MAR00309","ACSL5"
"10122","MAR00309","MEIKIN"
"21499","MAR00313","ACSL4"
"3665","MAR00313","ACSBG1"
"4474","MAR00313","ACSL3"
"5324","MAR00313","ACSBG2"
"6229","MAR00313","SLC27A2"
"7192","MAR00313","ACSL1"
"8159","MAR00313","ACSL6"
"9150","MAR00313","ACSL5"
"10123","MAR00313","MEIKIN"
"21500","MAR00319","ACSL4"
"3666","MAR00319","ACSBG1"
"4475","MAR00319","ACSL3"
"5325","MAR00319","ACSBG2"
"6230","MAR00319","SLC27A2"
"7193","MAR00319","ACSL1"
"8160","MAR00319","ACSL6"
"9151","MAR00319","ACSL5"
"10124","MAR00319","MEIKIN"
"21501","MAR00323","ACSL4"
"3667","MAR00323","ACSBG1"
"4476","MAR00323","ACSL3"
"5326","MAR00323","ACSBG2"
"6231","MAR00323","SLC27A2"
"7194","MAR00323","ACSL1"
"8161","MAR00323","ACSL6"
"9152","MAR00323","ACSL5"
"10125","MAR00323","MEIKIN"
"21502","MAR00327","ACSL4"
"3668","MAR00327","ACSBG1"
"4477","MAR00327","ACSL3"
"5327","MAR00327","ACSBG2"
"6232","MAR00327","SLC27A2"
"7195","MAR00327","ACSL1"
"8162","MAR00327","ACSL6"
"9153","MAR00327","ACSL5"
"10126","MAR00327","MEIKIN"
"21503","MAR00331","ACSL4"
"3669","MAR00331","ACSBG1"
"4478","MAR00331","ACSL3"
"5328","MAR00331","ACSBG2"
"6233","MAR00331","SLC27A2"
"7196","MAR00331","ACSL1"
"8163","MAR00331","ACSL6"
"9154","MAR00331","ACSL5"
"10127","MAR00331","MEIKIN"
"21504","MAR00337","ACSL4"
"3670","MAR00337","ACSBG1"
"4479","MAR00337","ACSL3"
"5329","MAR00337","ACSBG2"
"6234","MAR00337","SLC27A2"
"7197","MAR00337","ACSL1"
"8164","MAR00337","ACSL6"
"9155","MAR00337","ACSL5"
"10128","MAR00337","MEIKIN"
"21505","MAR00341","ACSL4"
"3671","MAR00341","ACSBG1"
"4480","MAR00341","ACSL3"
"5330","MAR00341","ACSBG2"
"6235","MAR00341","SLC27A2"
"7198","MAR00341","ACSL1"
"8165","MAR00341","ACSL6"
"9156","MAR00341","ACSL5"
"10129","MAR00341","MEIKIN"
"21506","MAR00345","ACSL4"
"3672","MAR00345","ACSBG1"
"4481","MAR00345","ACSL3"
"5331","MAR00345","ACSBG2"
"6236","MAR00345","SLC27A2"
"7199","MAR00345","ACSL1"
"8166","MAR00345","ACSL6"
"9157","MAR00345","ACSL5"
"10130","MAR00345","MEIKIN"
"21507","MAR00349","ACSL4"
"3673","MAR00349","ACSBG1"
"4482","MAR00349","ACSL3"
"5332","MAR00349","ACSBG2"
"6237","MAR00349","SLC27A2"
"7200","MAR00349","ACSL1"
"8167","MAR00349","ACSL6"
"9158","MAR00349","ACSL5"
"10131","MAR00349","MEIKIN"
"21508","MAR00353","ACSL4"
"3674","MAR00353","ACSBG1"
"4483","MAR00353","ACSL3"
"5333","MAR00353","ACSBG2"
"6238","MAR00353","SLC27A2"
"7201","MAR00353","ACSL1"
"8168","MAR00353","ACSL6"
"9159","MAR00353","ACSL5"
"10132","MAR00353","MEIKIN"
"21509","MAR00357","ACSL4"
"3675","MAR00357","ACSBG1"
"4484","MAR00357","ACSL3"
"5334","MAR00357","ACSBG2"
"6239","MAR00357","SLC27A2"
"7202","MAR00357","ACSL1"
"8169","MAR00357","ACSL6"
"9160","MAR00357","ACSL5"
"10133","MAR00357","MEIKIN"
"21510","MAR00361","ACSL4"
"3676","MAR00361","ACSBG1"
"4485","MAR00361","ACSL3"
"5335","MAR00361","ACSBG2"
"6240","MAR00361","SLC27A2"
"7203","MAR00361","ACSL1"
"8170","MAR00361","ACSL6"
"9161","MAR00361","ACSL5"
"10134","MAR00361","MEIKIN"
"21511","MAR00365","ACSL4"
"3677","MAR00365","ACSBG1"
"4486","MAR00365","ACSL3"
"5336","MAR00365","ACSBG2"
"6241","MAR00365","SLC27A2"
"7204","MAR00365","ACSL1"
"8171","MAR00365","ACSL6"
"9162","MAR00365","ACSL5"
"10135","MAR00365","MEIKIN"
"21512","MAR00369","ACSL4"
"3678","MAR00369","ACSBG1"
"4487","MAR00369","ACSL3"
"5337","MAR00369","ACSBG2"
"6242","MAR00369","SLC27A2"
"7205","MAR00369","ACSL1"
"8172","MAR00369","ACSL6"
"9163","MAR00369","ACSL5"
"10136","MAR00369","MEIKIN"
"21513","MAR00373","ACSL4"
"3679","MAR00373","ACSBG1"
"4488","MAR00373","ACSL3"
"5338","MAR00373","ACSBG2"
"6243","MAR00373","SLC27A2"
"7206","MAR00373","ACSL1"
"8173","MAR00373","ACSL6"
"9164","MAR00373","ACSL5"
"10137","MAR00373","MEIKIN"
"21514","MAR00377","ACSL4"
"3680","MAR00377","ACSBG1"
"4489","MAR00377","ACSL3"
"5339","MAR00377","ACSBG2"
"6244","MAR00377","SLC27A2"
"7207","MAR00377","ACSL1"
"8174","MAR00377","ACSL6"
"9165","MAR00377","ACSL5"
"10138","MAR00377","MEIKIN"
"21515","MAR00381","ACSL4"
"3681","MAR00381","ACSBG1"
"4490","MAR00381","ACSL3"
"5340","MAR00381","ACSBG2"
"6245","MAR00381","SLC27A2"
"7208","MAR00381","ACSL1"
"8175","MAR00381","ACSL6"
"9166","MAR00381","ACSL5"
"10139","MAR00381","MEIKIN"
"21516","MAR00385","ACSL4"
"3682","MAR00385","ACSBG1"
"4491","MAR00385","ACSL3"
"5341","MAR00385","ACSBG2"
"6246","MAR00385","SLC27A2"
"7209","MAR00385","ACSL1"
"8176","MAR00385","ACSL6"
"9167","MAR00385","ACSL5"
"10140","MAR00385","MEIKIN"
"21517","MAR00389","ACSL4"
"3683","MAR00389","ACSBG1"
"4492","MAR00389","ACSL3"
"5342","MAR00389","ACSBG2"
"6247","MAR00389","SLC27A2"
"7212","MAR00389","ACSL1"
"8177","MAR00389","ACSL6"
"9168","MAR00389","ACSL5"
"10141","MAR00389","MEIKIN"
"21518","MAR00393","ACSL4"
"3684","MAR00393","ACSBG1"
"4493","MAR00393","ACSL3"
"5343","MAR00393","ACSBG2"
"6248","MAR00393","SLC27A2"
"7213","MAR00393","ACSL1"
"8178","MAR00393","ACSL6"
"9169","MAR00393","ACSL5"
"10142","MAR00393","MEIKIN"
"21519","MAR00397","ACSL4"
"3685","MAR00397","ACSBG1"
"4494","MAR00397","ACSL3"
"5344","MAR00397","ACSBG2"
"6249","MAR00397","SLC27A2"
"7214","MAR00397","ACSL1"
"8179","MAR00397","ACSL6"
"9170","MAR00397","ACSL5"
"10143","MAR00397","MEIKIN"
"21520","MAR00401","ACSL4"
"3686","MAR00401","ACSBG1"
"4495","MAR00401","ACSL3"
"5345","MAR00401","ACSBG2"
"6250","MAR00401","SLC27A2"
"7215","MAR00401","ACSL1"
"8180","MAR00401","ACSL6"
"9171","MAR00401","ACSL5"
"10144","MAR00401","MEIKIN"
"21521","MAR00405","ACSL4"
"3687","MAR00405","ACSBG1"
"4496","MAR00405","ACSL3"
"5346","MAR00405","ACSBG2"
"6251","MAR00405","SLC27A2"
"7216","MAR00405","ACSL1"
"8181","MAR00405","ACSL6"
"9172","MAR00405","ACSL5"
"10145","MAR00405","MEIKIN"
"21522","MAR00409","ACSL4"
"3688","MAR00409","ACSBG1"
"4497","MAR00409","ACSL3"
"5347","MAR00409","ACSBG2"
"6252","MAR00409","SLC27A2"
"7217","MAR00409","ACSL1"
"8182","MAR00409","ACSL6"
"9173","MAR00409","ACSL5"
"10146","MAR00409","MEIKIN"
"21523","MAR00413","ACSL4"
"3689","MAR00413","ACSBG1"
"4498","MAR00413","ACSL3"
"5348","MAR00413","ACSBG2"
"6253","MAR00413","SLC27A2"
"7218","MAR00413","ACSL1"
"8183","MAR00413","ACSL6"
"9174","MAR00413","ACSL5"
"10147","MAR00413","MEIKIN"
"21524","MAR00417","ACSL4"
"3690","MAR00417","ACSBG1"
"4499","MAR00417","ACSL3"
"5349","MAR00417","ACSBG2"
"6254","MAR00417","SLC27A2"
"7219","MAR00417","ACSL1"
"8184","MAR00417","ACSL6"
"9175","MAR00417","ACSL5"
"10148","MAR00417","MEIKIN"
"21525","MAR00421","ACSL4"
"3691","MAR00421","ACSBG1"
"4500","MAR00421","ACSL3"
"5350","MAR00421","ACSBG2"
"6255","MAR00421","SLC27A2"
"7220","MAR00421","ACSL1"
"8185","MAR00421","ACSL6"
"9176","MAR00421","ACSL5"
"10149","MAR00421","MEIKIN"
"21526","MAR00425","ACSL4"
"3692","MAR00425","ACSBG1"
"4501","MAR00425","ACSL3"
"5351","MAR00425","ACSBG2"
"6256","MAR00425","SLC27A2"
"7221","MAR00425","ACSL1"
"8186","MAR00425","ACSL6"
"9177","MAR00425","ACSL5"
"10150","MAR00425","MEIKIN"
"21527","MAR00429","ACSL4"
"3693","MAR00429","ACSBG1"
"4502","MAR00429","ACSL3"
"5352","MAR00429","ACSBG2"
"6257","MAR00429","SLC27A2"
"7222","MAR00429","ACSL1"
"8187","MAR00429","ACSL6"
"9178","MAR00429","ACSL5"
"10151","MAR00429","MEIKIN"
"21528","MAR00433","ACSL4"
"3694","MAR00433","ACSBG1"
"4503","MAR00433","ACSL3"
"5353","MAR00433","ACSBG2"
"6258","MAR00433","SLC27A2"
"7223","MAR00433","ACSL1"
"8188","MAR00433","ACSL6"
"9179","MAR00433","ACSL5"
"10152","MAR00433","MEIKIN"
"21529","MAR00437","ACSL4"
"3695","MAR00437","ACSBG1"
"4504","MAR00437","ACSL3"
"5354","MAR00437","ACSBG2"
"6259","MAR00437","SLC27A2"
"7224","MAR00437","ACSL1"
"8189","MAR00437","ACSL6"
"9180","MAR00437","ACSL5"
"10153","MAR00437","MEIKIN"
"21530","MAR02942","ACSL4"
"3696","MAR02942","ACSBG1"
"4505","MAR02942","ACSL3"
"5355","MAR02942","ACSBG2"
"6260","MAR02942","SLC27A2"
"7225","MAR02942","ACSL1"
"8190","MAR02942","ACSL6"
"9181","MAR02942","ACSL5"
"10154","MAR02942","MEIKIN"
"21531","MAR02943","ACSL4"
"3697","MAR02943","ACSBG1"
"4506","MAR02943","ACSL3"
"5356","MAR02943","ACSBG2"
"6261","MAR02943","SLC27A2"
"7226","MAR02943","ACSL1"
"8191","MAR02943","ACSL6"
"9182","MAR02943","ACSL5"
"10155","MAR02943","MEIKIN"
"21532","MAR02944","ACSL4"
"3698","MAR02944","ACSBG1"
"4507","MAR02944","ACSL3"
"5357","MAR02944","ACSBG2"
"6262","MAR02944","SLC27A2"
"7227","MAR02944","ACSL1"
