PF4V1	PROS1
PF4V1	TUBB4Q
WNK2	KRT24
WNK2	NRG1
WNK2	CD300E
WNK2	STH
WNK2	CLEC4E
WNK2	G0S2
WNK2	ALPL
WNK2	CYP21A2
WNK2	FPR1
WNK2	FPR2
WNK2	MEFV
WNK2	SERPINA11
WNK2	AQP9
WNK2	CEACAM3
WNK2	LILRA3
WNK2	EMR3
WNK2	MAFF
WNK2	CHST1
WNK2	HK3
WNK2	VCPIP1
WNK2	PNPLA2
WNK2	QPCT
WNK2	S100A9
WNK2	RBPJL
WNK2	FRMD6
WNK2	LILRA5
WNK2	PLBD1
WNK2	NLRP13
