TF	size	nes	pval	pval.fdr
270	FLYWCH1	24	1.17211775610447	0.241149782021855	0.977581089556162
271	ZFP64	15	1.17182403339775	0.241267711512326	0.977581089556162
272	JUN	12	-1.16399813547508	0.244424767380548	0.977581089556162
273	MXD3	21	-1.16395477688081	0.244442339139154	0.977581089556162
274	ZNF676	7	1.15794127570945	0.246888001885464	0.977581089556162
275	ZC3H8	8	1.15670844027286	0.24739150015928	0.977581089556162
276	CGGBP1	18	1.15411057586996	0.248454838034926	0.977581089556162
277	ZNF623	13	1.15307136136564	0.248881095278961	0.977581089556162
278	ZNF24	14	-1.1519660943689	0.249335006289046	0.977581089556162
279	ZNF821	14	1.15195775403712	0.249338433694363	0.977581089556162
280	CHCHD3	9	1.15039476429121	0.249981315609426	0.977581089556162
281	E2F5	16	1.14970816109439	0.250264091875947	0.977581089556162
282	PHF1	15	1.14596497077199	0.251809646331486	0.977581089556162
283	STAT5A	12	1.14519701123422	0.25212755616435	0.977581089556162
284	ZSCAN29	9	1.14313097306629	0.252984216248815	0.977581089556162
285	IRF8	19	-1.14193133035684	0.253482564433457	0.977581089556162
286	FOXK1	13	1.14185751587079	0.253513250301091	0.977581089556162
287	ZNF625	20	1.13793450607635	0.255147831371221	0.977581089556162
288	L3MBTL3	23	1.13561589171609	0.256117354968603	0.977581089556162
289	ZNF618	16	1.13556750158651	0.256137616422441	0.977581089556162
290	NFE2L1	20	-1.13434222936382	0.256651021784679	0.977581089556162
291	E2F2	45	-1.13238073794909	0.257474399426428	0.977581089556162
292	ZNF627	16	1.12858078636782	0.259074719671969	0.977581089556162
293	RFX3	9	1.12626108581688	0.260055024044858	0.977581089556162
294	ZNF219	19	-1.12409390200903	0.260973191991491	0.977581089556162
295	ZNF202	19	1.12045206301955	0.262521169488243	0.977581089556162
296	MBD2	20	-1.12035608205058	0.262562052145144	0.977581089556162
297	ZBTB16	13	1.12019294579152	0.262631549378998	0.977581089556162
298	POU4F1	4	1.11832860487727	0.263426674283417	0.977581089556162
299	SREBF2	13	-1.11780844547195	0.263648813736117	0.977581089556162
300	ZNF410	11	1.11495790211951	0.264868462186099	0.977581089556162
301	BAZ2A	17	1.10903206224834	0.267416350746432	0.977581089556162
302	ZNF131	16	1.10850377641638	0.267644309107685	0.977581089556162
303	YBX2	10	1.10639869550326	0.268553989893419	0.977581089556162
304	ZBTB49	10	-1.10550081094117	0.268942643212844	0.977581089556162
305	GCM2	9	1.10522159139457	0.269063583306993	0.977581089556162
306	ZNF358	11	1.10272345433141	0.270147278111781	0.977581089556162
307	ZNF596	19	1.10261573232959	0.270194075265481	0.977581089556162
308	ZNF740	11	1.10063598528651	0.271055117258267	0.977581089556162
309	ETS2	11	1.10063486152083	0.271055606545651	0.977581089556162
310	ZBTB10	9	1.09735614500393	0.272485736364161	0.977581089556162
311	SP110	21	1.09730930885334	0.272506202967325	0.977581089556162
312	FOXD4L3	4	1.09577820971882	0.27317584661661	0.977581089556162
313	E2F7	14	1.09405111588318	0.273932560350922	0.977581089556162
314	ZBTB1	19	-1.09319157300256	0.274309696230067	0.977581089556162
315	ZNF232	14	1.09165887453782	0.27498306787253	0.977581089556162
316	ZNF395	11	1.0874316017973	0.276846111327463	0.977581089556162
317	LIN54	8	1.08566036381366	0.277629282741373	0.977581089556162
318	ZNF346	13	1.08403965534167	0.278347216679108	0.977581089556162
319	PRMT3	29	1.08298187623926	0.278816467614294	0.977581089556162
320	PRDM5	29	-1.08164091825414	0.279412115223017	0.977581089556162
321	ZNF695	14	1.07677382678322	0.281581320911221	0.977581089556162
322	TET3	18	1.07671840430764	0.281606087679271	0.977581089556162
323	ZNF561	14	1.07006075810193	0.284591961171876	0.977581089556162
324	ZBTB4	13	-1.06949498294366	0.284846688343085	0.977581089556162
325	ZFP2	17	1.06892643482248	0.28510281929248	0.977581089556162
326	ZNF709	9	1.0677261845551	0.285644043418486	0.977581089556162
327	ZNF311	17	-1.06631010057796	0.286283485071899	0.977581089556162
328	NFE2	17	1.06369527718666	0.287466764642369	0.977581089556162
329	NKX6-2	10	1.06334156878633	0.287627080467357	0.977581089556162
330	MLXIPL	6	1.06161628143129	0.288409919289636	0.977581089556162
331	BARHL1	13	1.05951453091286	0.289365515105234	0.977581089556162
332	MIXL1	16	1.05571117476756	0.291100190179247	0.977581089556162
333	ZNF576	10	1.05485455940492	0.291491847268839	0.977581089556162
334	FOXJ1	7	-1.05470140608565	0.291561908518697	0.977581089556162
335	ZNF8	4	1.0508917638339	0.293308303540663	0.977581089556162
336	BHLHA15	20	-1.05021618501806	0.293618729883191	0.977581089556162
337	IRX5	7	1.04996951206281	0.293732130240686	0.977581089556162
338	RLF	21	1.04917927767387	0.294095614154045	0.977581089556162
339	FOXN3	11	1.04273967438291	0.297068877545267	0.977581089556162
340	NFIC	17	-1.03912095680366	0.298748485549155	0.977581089556162
341	HEY2	10	-1.03799208436538	0.29927374030788	0.977581089556162
342	ZNF449	13	1.03607529504733	0.300167016713013	0.977581089556162
343	ZNF107	12	1.03602350611876	0.300191176410685	0.977581089556162
344	ZNF789	14	1.03547155963158	0.300448741708168	0.977581089556162
345	ZNF654	13	1.03416616852579	0.30105848716393	0.977581089556162
346	ZNF793	11	1.03319812880953	0.301511188394813	0.977581089556162
347	ZNF541	4	-1.03146684968407	0.302321946112673	0.977581089556162
348	ARNTL2	14	1.03067281730002	0.30269427605191	0.977581089556162
349	ZBTB26	20	1.0302099963692	0.302911438161239	0.977581089556162
350	DPF3	31	-1.02896906538171	0.303494211614778	0.977581089556162
351	ZNF280C	15	1.02887234622584	0.303539664723483	0.977581089556162
352	GPBP1	20	1.02555652137902	0.305100670498956	0.977581089556162
353	ESRRB	4	1.02409764712654	0.305789155637617	0.977581089556162
354	FLI1	27	1.0225548389152	0.306518371576706	0.977581089556162
355	GLI3	16	-1.0219316864896	0.306813234079885	0.977581089556162
356	ZNF169	7	1.02077561573545	0.307360759704099	0.977581089556162
357	SETDB2	16	1.01944960759931	0.307989565266209	0.977581089556162
358	ZNF473	12	1.01883761034662	0.308280067014224	0.977581089556162
359	ZNF398	23	1.01361219771454	0.31076783501727	0.977581089556162
360	HES6	25	-1.00883254262088	0.313054951201187	0.977581089556162
361	ZNF418	17	-1.0083847438208	0.31326979408209	0.977581089556162
362	FAM200B	11	1.00513348929311	0.3148325761727	0.977581089556162
363	ZNF683	20	1.00016528260043	0.317230527371998	0.977581089556162
364	REPIN1	7	0.999128180494337	0.317732601372268	0.977581089556162
365	ZNF217	18	0.998577183204322	0.317999557731947	0.977581089556162
366	KCMF1	17	0.995237620279256	0.319620708744168	0.977581089556162
367	ZNF557	17	0.994617640372512	0.319922264588728	0.977581089556162
368	ARID2	22	0.992664462660559	0.320873498786328	0.977581089556162
369	MBD1	14	0.989315803005009	0.322508654569833	0.977581089556162
370	CEBPE	39	-0.988178301268339	0.323065333116126	0.977581089556162
371	ZNF598	15	0.98651252402532	0.323881672572261	0.977581089556162
372	ZNF501	14	0.986165846848278	0.324051735779333	0.977581089556162
373	ZNF239	35	0.98162476051925	0.326284744545419	0.977581089556162
374	GLI4	18	0.98082884843846	0.326677149499987	0.977581089556162
375	HOXA11	6	0.980604035795496	0.326788043371865	0.977581089556162
376	ZNF30	14	-0.97958794434929	0.327289558213263	0.977581089556162
377	HMGN3	11	0.978907953696466	0.327625461884449	0.977581089556162
378	HLX	12	-0.978599426383361	0.327777942828153	0.977581089556162
379	VENTX	17	-0.97820596461838	0.327972467037785	0.977581089556162
380	MAZ	10	-0.977824274549697	0.328161242976207	0.977581089556162
381	RFX1	25	-0.977380867772266	0.328380631192064	0.977581089556162
382	IRF5	26	-0.976028872373825	0.329050156720708	0.977581089556162
383	TBX1	15	0.975966618533558	0.329081006915739	0.977581089556162
384	BBX	30	0.975848612064837	0.329139490742662	0.977581089556162
385	ATF6	9	0.975455320786851	0.329334453932357	0.977581089556162
386	ZSCAN5B	5	0.973656729488214	0.330227008759851	0.977581089556162
387	ZNF506	20	0.972266681010433	0.330917895086552	0.977581089556162
388	MZF1	12	0.968205787980732	0.332941604840977	0.977581089556162
389	ZNF19	17	0.962742429091671	0.335676798435819	0.977581089556162
390	TCF7L2	16	-0.962599654434524	0.33574847102983	0.977581089556162
391	MEF2C	11	0.961384767408233	0.336358740433363	0.977581089556162
392	E2F4	8	-0.960021697881704	0.337044294749121	0.977581089556162
393	MYCN	21	0.956967261145045	0.338583779808526	0.977581089556162
394	ZNF148	26	0.956657460606497	0.338740175982762	0.977581089556162
395	SATB1	14	0.955917671948978	0.339113829983746	0.977581089556162
