V1,V2
ARHGEF1,CDKN1B
ARHGEF1,SRC
ARHGEF16,ELMO2
ARHGEF18,TGFB1
ARHGEF2,TUBB3
ARHGEF7,JAK2
ARHGEF7,PXN
ARHGEF7,SRC
ARID4A,HDAC2
ARID4A,RB1
ARID4A,RBBP4
ARID4A,RBBP7
ARID4A,SAP18
ARID4A,SP1
ARID4A,TBK1
ARID4B,SP3
ARIH1,JAK1
ARIH1,UBE2L6
ARIH2,UBE2L6
ARL13B,VPS37A
ARL2,PPP2CA
ARL2,TUBB3
ARNT,PDK1
ARNT,TF
ARPC1A,ARPC1B
ARPC1A,ARPC2
ARPC1A,ARPC3
ARPC1A,ARPC4
ARPC1A,ARRB1
ARPC1A,ARRB2
ARPC1A,BIN1
ARPC1A,BRK1
ARPC1A,CAPZA1
ARPC1A,CAPZA2
ARPC1A,CAPZB
ARPC1A,CDC42
ARPC1A,CLTB
ARPC1A,CLTC
ARPC1A,CYFIP1
ARPC1A,CYFIP2
ARPC1A,EPS15L1
ARPC1A,FNBP1
ARPC1A,GAK
ARPC1A,GAPVD1
ARPC1A,GRB2
ARPC1A,HGS
ARPC1A,HTT
ARPC1A,NCK1
ARPC1A,NCKAP1L
ARPC1A,OCRL
ARPC1A,PACSIN2
ARPC1A,REPS1
ARPC1A,RHOA
ARPC1A,SCARB2
ARPC1A,STAM
ARPC1A,TF
ARPC1A,VAMP2
ARPC1A,VAMP8
ARPC1A,VCL
ARPC1A,WIPF1
ARPC1B,TGFB1
ARPC2,EPN1
ARPC2,TF
ARPC3,EPN1
ARPC3,TF
ARPC4,EPN1
ARPC4,TF
ARPC5,TF
ARR3,CSNK1G2
ARR3,PPP2CA
ARR3,PPP2R5E
ARRB1,CSNK1G2
ARRB1,EPN1
ARRB1,MAP2K4
ARRB1,PPP2CA
ARRB1,PPP2R5E
ARRB1,SRC
ARRB2,CSNK1G2
ARRB2,EPN1
ARRB2,MAP2K4
ARRB2,PPP2CA
ARRB2,PPP2R5E
ARRB2,SRC
ARRB2,TGFB1
ARSA,SUMF1
ARSA,SUMF2
ARSB,SUMF1
ARSD,SUMF1
ARSE,SUMF1
ARSF,SUMF1
ARSG,SUMF1
ARSH,SUMF1
ARSI,SUMF1
ARSJ,SUMF1
ARSK,SUMF1
ASAP1,KDELR1
ASAP1,SRC
ASCL1,POU2F2
ASCL1,ZNF143
ASNS,GSS
ATAD1,PEX3
ATF1,CAMK2G
ATF1,POLG2
ATF1,PRKACB
ATF1,RPS6KA5
ATF2,CAMK2G
ATF2,FN1
ATF2,PRKACB
ATF2,RPS6KA5
ATF4,CAMK2G
ATF4,POU2F2
ATF4,PRKACB
ATF4,RPS6KA5
ATF6B,CAMK2G
ATF6B,PRKACB
ATF6B,RPS6KA5
ATG101,PPP2CA
ATG12,DDX58
ATG13,PPP2CA
ATG13,PRKACB
ATG4D,PPP2CA
ATG5,DDX58
ATP1A1,NFIC
ATP1A1,PRKACB
ATP1A2,PRKACB
ATP1A3,PRKACB
ATP1A4,PRKACB
ATP1B1,PRKACB
ATP1B2,PRKACB
ATP1B3,PRKACB
ATP1B4,PRKACB
ATP2A1,CAMK2G
ATP2A2,CAMK2G
ATP2A3,CAMK2G
ATP2B1,PRKACB
