name,attr1,attr2,n
CDC6,lalala,lalala,PPI
CDC7,lalala,lalala,PPI
CDC73,lalala,lalala,PPI
CDCA5,lalala,lalala,PPI
CDCA8,lalala,lalala,PPI
CDH2,lalala,lalala,PPI
CDIPT,lalala,lalala,PPI
CDK1,lalala,lalala,PPI
CDK13,lalala,lalala,PPI
CDK19,lalala,lalala,PPI
CDK2,lalala,lalala,PPI
CDK3,lalala,lalala,PPI
CDK4,lalala,lalala,PPI
CDK5R1,lalala,lalala,PPI
CDK5RAP2,lalala,lalala,PPI
CDK6,lalala,lalala,PPI
CDK7,lalala,lalala,PPI
CDK8,lalala,lalala,PPI
CDK9,lalala,lalala,PPI
CDKN1A,lalala,lalala,PPI
CDKN1B,lalala,lalala,PPI
CDKN2B,lalala,lalala,PPI
CDKN2C,lalala,lalala,PPI
CDKN2D,lalala,lalala,PPI
CDT1,lalala,lalala,PPI
CEACAM1,lalala,lalala,PPI
CEACAM6,lalala,lalala,PPI
CEACAM8,lalala,lalala,PPI
CEBPA,lalala,lalala,PPI
CEBPB,lalala,lalala,PPI
CEBPD,lalala,lalala,PPI
CELA1,lalala,lalala,PPI
CENPA,lalala,lalala,PPI
CENPC,lalala,lalala,PPI
CENPE,lalala,lalala,PPI
CENPF,lalala,lalala,PPI
CENPH,lalala,lalala,PPI
CENPI,lalala,lalala,PPI
CENPJ,lalala,lalala,PPI
CENPK,lalala,lalala,PPI
CENPL,lalala,lalala,PPI
CENPM,lalala,lalala,PPI
CENPN,lalala,lalala,PPI
CENPO,lalala,lalala,PPI
CENPP,lalala,lalala,PPI
CENPQ,lalala,lalala,PPI
CENPS,lalala,lalala,PPI
CENPT,lalala,lalala,PPI
CENPU,lalala,lalala,PPI
CEP131,lalala,lalala,PPI
CEP135,lalala,lalala,PPI
CEP152,lalala,lalala,PPI
CEP162,lalala,lalala,PPI
CEP164,lalala,lalala,PPI
CEP192,lalala,lalala,PPI
CEP250,lalala,lalala,PPI
CEP290,lalala,lalala,PPI
CEP41,lalala,lalala,PPI
CEP57,lalala,lalala,PPI
CEP63,lalala,lalala,PPI
CEP70,lalala,lalala,PPI
CEP72,lalala,lalala,PPI
CEP76,lalala,lalala,PPI
CEP78,lalala,lalala,PPI
CEP83,lalala,lalala,PPI
CEP89,lalala,lalala,PPI
CEP97,lalala,lalala,PPI
CERT,lalala,lalala,PPI
CETN1,lalala,lalala,PPI
CETN2,lalala,lalala,PPI
CFL1,lalala,lalala,PPI
CFTR,lalala,lalala,PPI
CGA,lalala,lalala,PPI
CGN,lalala,lalala,PPI
CHAF1A,lalala,lalala,PPI
CHCHD1,lalala,lalala,PPI
CHD1L,lalala,lalala,PPI
CHD8,lalala,lalala,PPI
CHD9,lalala,lalala,PPI
CHEK1,lalala,lalala,PPI
CHERP,lalala,lalala,PPI
CHI3L1,lalala,lalala,PPI
CHKA,lalala,lalala,PPI
CHKB,lalala,lalala,PPI
CHM,lalala,lalala,PPI
CHML,lalala,lalala,PPI
CHMP1A,lalala,lalala,PPI
CHMP2A,lalala,lalala,PPI
CHMP2B,lalala,lalala,PPI
CHMP3,lalala,lalala,PPI
CHMP4A,lalala,lalala,PPI
CHMP4B,lalala,lalala,PPI
CHMP4C,lalala,lalala,PPI
CHMP5,lalala,lalala,PPI
CHMP6,lalala,lalala,PPI
CHMP7,lalala,lalala,PPI
CHRNA4,lalala,lalala,PPI
CHRNB4,lalala,lalala,PPI
CHTOP,lalala,lalala,PPI
CHUK,lalala,lalala,PPI
CHURC1-FNTB,lalala,lalala,PPI
CIITA,lalala,lalala,PPI
CILP,lalala,lalala,PPI
CISH,lalala,lalala,PPI
CIT,lalala,lalala,PPI
CKAP5,lalala,lalala,PPI
CLASP1,lalala,lalala,PPI
CLASP2,lalala,lalala,PPI
CLASRP,lalala,lalala,PPI
CLC,lalala,lalala,PPI
CLCF1,lalala,lalala,PPI
CLEC4M,lalala,lalala,PPI
CLGN,lalala,lalala,PPI
CLIP1,lalala,lalala,PPI
CLNS1A,lalala,lalala,PPI
CLOCK,lalala,lalala,PPI
CLP1,lalala,lalala,PPI
CLSPN,lalala,lalala,PPI
CLTA,lalala,lalala,PPI
CLTB,lalala,lalala,PPI
CLTC,lalala,lalala,PPI
CLTCL1,lalala,lalala,PPI
CNOT2,lalala,lalala,PPI
